t,p,FL,Fv,rho_L,rho_g,mu_L,mu_g,Z oil,Z gas
80,165.0,0.0,1.0,0.0,443.41118404116,0.0,0.0355100357883855,0.0,0.554207087841224
80,166.0,0.0,1.0,0.0,446.625552026744,0.0,0.0357416756159247,0.0,0.553553111906584
80,167.0,0.0,1.0,0.0,449.81814043328,0.0,0.0359731139616242,0.0,0.552935253121502
80,168.0,0.0,1.0,0.0,452.988732548506,0.0,0.0362043010769021,0.0,0.552352922972639
80,169.0,0.0,1.0,0.0,456.137138030495,0.0,0.0364351892941944,0.0,0.551805526603998
80,170.0,0.0,1.0,0.0,459.263191968035,0.0,0.0366657330224522,0.0,0.551292464190988
80,171.0,0.0,1.0,0.0,462.366753915563,0.0,0.0368958887357088,0.0,0.550813132244593
80,172.0,0.0,1.0,0.0,465.4477069096,0.0,0.0371256149553118,0.0,0.550366924844403
80,173.0,0.0,1.0,0.0,468.505956473131,0.0,0.0373548722264027,0.0,0.549953234799933
80,174.0,0.0,1.0,0.0,471.541429613877,0.0,0.0375836230892222,0.0,0.549571454740162
80,175.0,0.0,1.0,0.0,474.554073821865,0.0,0.0378118320457959,0.0,0.549220978131796
80,176.0,0.0,1.0,0.0,477.543856071221,0.0,0.0380394655225409,0.0,0.548901200227145
80,177.0,0.0,1.0,0.0,480.510761830601,0.0,0.038266491829308,0.0,0.548611518942933
80,178.0,0.0,1.0,0.0,483.454794086167,0.0,0.0384928811153483,0.0,0.548351335671689
80,179.0,0.0,1.0,0.0,486.375972380603,0.0,0.038718605322671,0.0,0.548120056027632
80,180.0,0.0,1.0,0.0,489.274331871157,0.0,0.0389436381372241,0.0,0.547917090529215
80,181.0,0.0,1.0,0.0,492.149922409308,0.0,0.0391679549383083,0.0,0.547741855220682
80,182.0,0.0,1.0,0.0,495.002807644273,0.0,0.039391532746599,0.0,0.54759377223513
80,183.0,0.0,1.0,0.0,497.833064152163,0.0,0.0396143501711273,0.0,0.547472270301682
80,184.0,0.0,1.0,0.0,500.640780592279,0.0,0.0398363873555393,0.0,0.547376785199454
80,185.0,0.0,1.0,0.0,503.426056891729,0.0,0.0400576259239258,0.0,0.547306760161053
80,186.0,0.0,1.0,0.0,506.189003459233,0.0,0.0402780489264888,0.0,0.547261646228345
80,187.0,0.0,1.0,0.0,508.929740428767,0.0,0.040497640785283,0.0,0.547240902563222
80,188.0,0.0,1.0,0.0,511.648396933398,0.0,0.0407163872402465,0.0,0.547243996716111
80,189.0,0.0,1.0,0.0,514.345110409526,0.0,0.0409342752957126,0.0,0.547270404854868
80,190.0,0.0,1.0,0.0,517.020025931493,0.0,0.0411512931675698,0.0,0.54731961195669
80,191.0,0.0,1.0,0.0,519.673295576406,0.0,0.0413674302312175,0.0,0.547391111965571
80,192.0,0.0,1.0,0.0,522.305077818849,0.0,0.0415826769704463,0.0,0.547484407917777
80,193.0,0.0,1.0,0.0,524.915536955039,0.0,0.0417970249273509,0.0,0.547599012037704
80,194.0,0.0,1.0,0.0,527.504842555893,0.0,0.0420104666533708,0.0,0.547734445806391
80,195.0,0.0,1.0,0.0,530.073168948338,0.0,0.0422229956615329,0.0,0.547890240004893
80,196.0,0.0,1.0,0.0,532.620694724187,0.0,0.0424346063799633,0.0,0.548065934734552
80,197.0,0.0,1.0,0.0,535.147602275782,0.0,0.0426452941067145,0.0,0.548261079416174
80,198.0,0.0,1.0,0.0,537.65407735758,0.0,0.0428550549659498,0.0,0.54847523276996
80,199.0,0.0,1.0,0.0,540.140308672842,0.0,0.0430638858655123,0.0,0.548707962777964
80,200.0,0.0,1.0,0.0,542.606487484512,0.0,0.0432717844558948,0.0,0.548958846630741
90,1.0,0.0,1.0,0.0,1.4524315756503,0.0,0.0184666985023994,0.0,0.997177004337891
90,2.0,0.0,1.0,0.0,2.91311415620728,0.0,0.0184809167715982,0.0,0.994352634294551
90,3.0,0.0,1.0,0.0,4.38212423990936,0.0,0.0184954649178837,0.0,0.991526909088287
90,4.0,0.0,1.0,0.0,5.85953914884533,0.0,0.0185103480349866,0.0,0.988699848791442
90,5.0,0.0,1.0,0.0,7.34543703354129,0.0,0.018525571322352,0.0,0.985871474358333
90,6.0,0.0,1.0,0.0,8.83989687723868,0.0,0.018541140087419,0.0,0.983041807654081
90,7.0,0.0,1.0,0.0,10.3429984998395,0.0,0.0185570597479452,0.0,0.980210871484358
90,8.0,0.0,1.0,0.0,11.8548225614933,0.0,0.0185733358343741,0.0,0.977378689626061
90,9.0,0.0,1.0,0.0,13.375450565799,0.0,0.0185899739922468,0.0,0.974545286858965
90,10.0,0.0,1.0,0.0,14.9049648625936,0.0,0.0186069799846589,0.0,0.971710688998364
90,11.0,0.0,1.0,0.0,16.4434486502978,0.0,0.0186243596947602,0.0,0.968874922928738
90,12.0,0.0,1.0,0.0,17.9909859777876,0.0,0.0186421191282997,0.0,0.966038016638483
90,13.0,0.0,1.0,0.0,19.5476617457585,0.0,0.0186602644162148,0.0,0.963199999255712
90,14.0,0.0,1.0,0.0,21.1135617075477,0.0,0.0186788018172637,0.0,0.960360901085186
90,15.0,0.0,1.0,0.0,22.6887724693788,0.0,0.0186977377207027,0.0,0.957520753646385
90,16.0,0.0,1.0,0.0,24.2733814899885,0.0,0.0187170786490059,0.0,0.954679589712767
90,17.0,0.0,1.0,0.0,25.8674770795974,0.0,0.0187368312606284,0.0,0.95183744335223
90,18.0,0.0,1.0,0.0,27.4711483981809,0.0,0.0187570023528119,0.0,0.948994349968834
90,19.0,0.0,1.0,0.0,29.0844854529965,0.0,0.0187775988644313,0.0,0.946150346345792
90,20.0,0.0,1.0,0.0,30.7075790953199,0.0,0.0187986278788828,0.0,0.943305470689785
90,21.0,0.0,1.0,0.0,32.340521016342,0.0,0.0188200966270117,0.0,0.940459762676621
90,22.0,0.0,1.0,0.0,33.9834037421744,0.0,0.0188420124900783,0.0,0.937613263498287
90,23.0,0.0,1.0,0.0,35.6363206279097,0.0,0.0188643830027622,0.0,0.93476601591141
90,24.0,0.0,1.0,0.0,37.2993658506801,0.0,0.0188872158562011,0.0,0.93191806428719
90,25.0,0.0,1.0,0.0,38.9726344016545,0.0,0.0189105189010652,0.0,0.92906945466281
90,26.0,0.0,1.0,0.0,40.6562220769129,0.0,0.0189343001506629,0.0,0.926220234794386
90,27.0,0.0,1.0,0.0,42.3502254671314,0.0,0.0189585677840771,0.0,0.923370454211479
90,28.0,0.0,1.0,0.0,44.0547419460116,0.0,0.0189833301493294,0.0,0.920520164273208
90,29.0,0.0,1.0,0.0,45.7698696573816,0.0,0.0190085957665691,0.0,0.917669418225998
90,30.0,0.0,1.0,0.0,47.4957075008947,0.0,0.0190343733312852,0.0,0.914818271263005
90,31.0,0.0,1.0,0.0,49.2323551162481,0.0,0.0190606717175368,0.0,0.91196678058525
90,32.0,0.0,1.0,0.0,50.97991286584,0.0,0.0190874999812002,0.0,0.90911500546449
90,33.0,0.0,1.0,0.0,52.7384818157795,0.0,0.0191148673632268,0.0,0.906263007307876
90,34.0,0.0,1.0,0.0,54.5081637151628,0.0,0.0191427832929094,0.0,0.903410849724416
90,35.0,0.0,1.0,0.0,56.2890609735204,0.0,0.0191712573911522,0.0,0.900558598593285
90,36.0,0.0,1.0,0.0,58.0812766363418,0.0,0.0192002994737375,0.0,0.897706322134008
90,37.0,0.0,1.0,0.0,59.8849143585749,0.0,0.0192299195545872,0.0,0.894854090978552
90,38.0,0.0,1.0,0.0,61.7000783759988,0.0,0.0192601278490102,0.0,0.892001978245345
90,39.0,0.0,1.0,0.0,63.5268734743575,0.0,0.0192909347769313,0.0,0.889150059615266
90,40.0,0.0,1.0,0.0,65.3654049561464,0.0,0.019322350966094,0.0,0.88629841340961
90,41.0,0.0,1.0,0.0,67.2157786049303,0.0,0.01935438725523,0.0,0.88344712067006
90,42.0,0.0,1.0,0.0,69.0781006470744,0.0,0.0193870546971881,0.0,0.880596265240697
90,43.0,0.0,1.0,0.0,70.9524777107607,0.0,0.0194203645620135,0.0,0.877745933852035
90,44.0,0.0,1.0,0.0,72.8390167821611,0.0,0.0194543283399683,0.0,0.874896216207126
90,45.0,0.0,1.0,0.0,74.7378251586299,0.0,0.0194889577444841,0.0,0.872047205069723
90,46.0,0.0,1.0,0.0,76.6490103987795,0.0,0.0195242647150361,0.0,0.86919899635451
90,47.0,0.0,1.0,0.0,78.5726802692925,0.0,0.0195602614199267,0.0,0.866351689219412
90,48.0,0.0,1.0,0.0,80.508942688324,0.0,0.0195969602589689,0.0,0.863505386159956
90,49.0,0.0,1.0,0.0,82.4579056653406,0.0,0.0196343738660538,0.0,0.860660193105701
90,50.0,0.0,1.0,0.0,84.4196772372388,0.0,0.0196725151115915,0.0,0.857816219518693
90,51.0,0.0,1.0,0.0,86.394365400582,0.0,0.0197113971048094,0.0,0.854973578493947
90,52.0,0.0,1.0,0.0,88.3820780397908,0.0,0.0197510331958933,0.0,0.852132386861903
90,53.0,0.0,1.0,0.0,90.3829228511175,0.0,0.0197914369779542,0.0,0.849292765292837
90,54.0,0.0,1.0,0.0,92.3970072622312,0.0,0.0198326222888058,0.0,0.846454838403159
90,55.0,0.0,1.0,0.0,94.4244383472381,0.0,0.0198746032125316,0.0,0.843618734863569
90,56.0,0.0,1.0,0.0,96.4653227369579,0.0,0.0199173940808243,0.0,0.840784587508971
90,57.0,0.0,1.0,0.0,98.5197665242722,0.0,0.0199610094740772,0.0,0.837952533450094
90,58.0,0.0,1.0,0.0,100.587875164363,0.0,0.0200054642222051,0.0,0.835122714186722
90,59.0,0.0,1.0,0.0,102.669753369655,0.0,0.0200507734051729,0.0,0.832295275722426
90,60.0,0.0,1.0,0.0,104.765504999271,0.0,0.0200969523532082,0.0,0.829470368680681
90,61.0,0.0,1.0,0.0,106.875232942816,0.0,0.0201440166466723,0.0,0.826648148422257
90,62.0,0.0,1.0,0.0,108.999038998298,0.0,0.0201919821155648,0.0,0.823828775163707
90,63.0,0.0,1.0,0.0,111.137023744006,0.0,0.0202408648386329,0.0,0.821012414096816
90,64.0,0.0,1.0,0.0,113.289286404149,0.0,0.0202906811420573,0.0,0.818199235508819
90,65.0,0.0,1.0,0.0,115.455924708079,0.0,0.0203414475976858,0.0,0.815389414903189
90,66.0,0.0,1.0,0.0,117.63703474292,0.0,0.020393181020782,0.0,0.812583133120776
90,67.0,0.0,1.0,0.0,119.832710799427,0.0,0.0204458984672577,0.0,0.809780576461067
90,68.0,0.0,1.0,0.0,122.043045210903,0.0,0.020499617230355,0.0,0.806981936803286
